source_row,composition,reference_id,reference_text,composition_match_ambiguous_within_reference,TC,H,dS,dS_ref,RC,dX,VEC,sigma,dHmix,dSmix,nunfilled_mean,mag_moment_mean,avg_d_valence_electrons,bandgap_mean,melting_point_mean,electronegativity_range
2,GdTbDyHo,[1],"L. Wang, Z. Lu, Y. Wu, Y. Zhang, R. Zhao, S. Jiang, X. Liu, H. Wang, D. Ma, Z. Lu, Effect of Sc Addition on Magnetocaloric Properties of GdTbDyHo High-Entropy Alloys, Adv. Eng. Mater. 26 (2024). https://doi.org/10.1002/adem.202300616.",True,198.0,5.0,8.2,8.2,634.4,0.0516599457994295,3.0,0.7285100685803332,0.0,11.52634446553133,7.0,0.0,0.25,0.0,1661.75,0.03
3,(GdTbDyHo)99.9Sc0.1,[1],"L. Wang, Z. Lu, Y. Wu, Y. Zhang, R. Zhao, S. Jiang, X. Liu, H. Wang, D. Ma, Z. Lu, Effect of Sc Addition on Magnetocaloric Properties of GdTbDyHo High-Entropy Alloys, Adv. Eng. Mater. 26 (2024). https://doi.org/10.1002/adem.202300616.",False,193.0,5.0,7.8,7.8,665.5,0.1447907171116943,3.297,9.711483186344838,0.3996,13.43761283799926,7.084669915330083,2.2663127336872663e-08,0.2583727416272583,0.0,1661.178376821623,0.1600000000000001
4,(GdTbDyHo)99.9Sc0.2,[1],"L. Wang, Z. Lu, Y. Wu, Y. Zhang, R. Zhao, S. Jiang, X. Liu, H. Wang, D. Ma, Z. Lu, Effect of Sc Addition on Magnetocaloric Properties of GdTbDyHo High-Entropy Alloys, Adv. Eng. Mater. 26 (2024). https://doi.org/10.1002/adem.202300616.",False,186.0,5.0,7.5,7.5,684.3,0.0522306697207684,3.0036,0.8159965620037698,0.0079936,11.62711504667778,7.091483,4.51612e-08,0.26101,0.0,1661.721758,0.1600000000000001
5,GdTbDyHo)99.9Sc0.3,[1],"L. Wang, Z. Lu, Y. Wu, Y. Zhang, R. Zhao, S. Jiang, X. Liu, H. Wang, D. Ma, Z. Lu, Effect of Sc Addition on Magnetocaloric Properties of GdTbDyHo High-Entropy Alloys, Adv. Eng. Mater. 26 (2024). https://doi.org/10.1002/adem.202300616.",False,181.0,5.0,7.4,7.4,802.4,0.052559134821456,3.0066,0.8714375645457357,0.0119904,11.66867268678802,7.098240000000001,6.75005e-08,0.263628,0.0,1662.261386,0.1600000000000001
6,(GdTbDyHo)99.9Sc0.4,[1],"L. Wang, Z. Lu, Y. Wu, Y. Zhang, R. Zhao, S. Jiang, X. Liu, H. Wang, D. Ma, Z. Lu, Effect of Sc Addition on Magnetocaloric Properties of GdTbDyHo High-Entropy Alloys, Adv. Eng. Mater. 26 (2024). https://doi.org/10.1002/adem.202300616.",False,181.0,5.0,8.6,8.6,698.2,0.0529118929194561,3.0096,0.9340683886638392,0.0159872,11.70740507581538,7.104957,8.968105e-08,0.266228,0.0,1662.79707,0.1600000000000001
7,(GdTbDyHo)99.9Sc0.5,[1],"L. Wang, Z. Lu, Y. Wu, Y. Zhang, R. Zhao, S. Jiang, X. Liu, H. Wang, D. Ma, Z. Lu, Effect of Sc Addition on Magnetocaloric Properties of GdTbDyHo High-Entropy Alloys, Adv. Eng. Mater. 26 (2024). https://doi.org/10.1002/adem.202300616.",False,176.0,5.0,8.2,8.2,694.4,0.0532885657012833,3.0126,1.002513814795891,0.019984,11.74403662732994,7.111629111629111,1.117093117093117e-07,0.2688102688102688,0.0,1663.329078329078,0.1600000000000001
8,Tb25.11Dy25.03Ho24.4Er 25.43,[2],"W.H. Zhu, L. Ma, M.F. He, Z.K. Li, H.Z. Zhang, Q.R. Yao, G.H. Rao, K.P. Su, X.C. Zhong, Z.W. Liu, X.Q. Gao, Large Refrigerant Capacity Induced by Table-Like Magnetocaloric Effect in High-Entropy Alloys TbDyHoEr, Adv. Eng. Mater. 25 (2023). https://doi.org/10.1002/adem.202201770.",False,160.0,5.0,6.82,6.82,883.19,0.0568410450833268,2.9991,0.5298347917921815,0.0,11.52445011068683,3.519579,0.0,0.0,0.0,1706.646427,0.03
9,Tb23.58Dy25.05Ho25.03Er 26.34,[2],"W.H. Zhu, L. Ma, M.F. He, Z.K. Li, H.Z. Zhang, Q.R. Yao, G.H. Rao, K.P. Su, X.C. Zhong, Z.W. Liu, X.Q. Gao, Large Refrigerant Capacity Induced by Table-Like Magnetocaloric Effect in High-Entropy Alloys TbDyHoEr, Adv. Eng. Mater. 25 (2023). https://doi.org/10.1002/adem.202201770.",False,163.9,5.0,6.7,6.7,1049.22,0.0557192460017182,3.0,0.5272245091155157,0.0,11.51998645138274,3.479622,0.0,0.0,0.0,1708.679275,0.03
10,Gd20Ho20Er20Al20 Fe 20,[3],"W. Sheng, J.Q. Wang, G. Wang, J. Huo, X. Wang, R.W. Li, Amorphous microwires of high entropy alloys with large magnetocaloric effect, Intermetallics (Barking). 96 (2018) 79–83. https://doi.org/10.1016/j.intermet.2018.02.015.",False,55.0,5.0,5.1,5.1,446.0,0.2534087607009671,4.0,13.96548149598668,-21.44,13.38167152293333,5.2996182996183,0.5151267674319675,1.551029551029551,0.0,1339.591697861698,0.6300000000000001
11,Gd20Ho20Er20Al20 Co 20,[3],"W. Sheng, J.Q. Wang, G. Wang, J. Huo, X. Wang, R.W. Li, Amorphous microwires of high entropy alloys with large magnetocaloric effect, Intermetallics (Barking). 96 (2018) 79–83. https://doi.org/10.1016/j.intermet.2018.02.015.",False,39.0,5.0,10.2,10.2,625.0,0.2697702726395182,4.2,13.74851532583833,-32.32,13.38167152293333,5.082190082190082,0.362754516893717,1.727660727660728,0.0,1323.411236361236,0.6799999999999999
12,Gd20Ho20Er20Al20 Ni 20,[3],"W. Sheng, J.Q. Wang, G. Wang, J. Huo, X. Wang, R.W. Li, Amorphous microwires of high entropy alloys with large magnetocaloric effect, Intermetallics (Barking). 96 (2018) 79–83. https://doi.org/10.1016/j.intermet.2018.02.015.",False,25.0,5.0,9.5,9.5,511.0,0.2798142240844807,4.4,13.85672651755875,-37.28000000000001,13.38167152293333,4.845200845200845,0.1399167036273036,1.967698967698968,0.0,1314.436202556202,0.71
