Composition,Reported TC / transition (K),Transition basis,250–350,Strict 280–320,VEC–δ core,300–400,Source,External-set interpretation,TC_K,is_simulation,chemistry_stratum,validation_role,experiment_stratum,pass::250–350 K,positive::250–350 K,pass::280–320 K strict,positive::280–320 K strict,pass::280–320 K VEC–δ core,positive::280–320 K VEC–δ core,pass::300–400 K,positive::300–400 K,mag_moment_mean,avg_d_valence_electrons,melting_point_mean,pass::v2_250_350,positive_v2
Gd0.25Tb0.25Ho0.25Er0.25CoNi,93.3,"SOPT, FM–PM",Fail,Fail,Fail,Fail,Qu et al. [27],Below-target control,93.3,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.7146219666666667,5.083333333333333,1726.3333333333333,True,False
Gd18.34Dy18.33Er18.33Al20Fe25,75.0,"SOPT, FM–PM",Fail,Fail,Fail,Fail,Gao et al. [28],Below-target control,75.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.5276657,1.6834,1563.6179,False,False
Gd21.34Dy18.33Er15.33Al20Fe25,84.0,"SOPT, FM–PM",Fail,Fail,Fail,Fail,Gao et al. [28],Below-target control,84.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.5276657,1.7134,1558.0979,False,False
Gd24.34Dy18.33Er12.33Al20Fe25,95.0,"SOPT, FM–PM",Fail,Fail,Fail,Fail,Gao et al. [28],Below-target control,95.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.5276657,1.7434,1552.5779,False,False
Gd27.34Dy18.33Er9.33Al20Fe25,103.0,"SOPT, FM–PM",Fail,Fail,Fail,Fail,Gao et al. [28],Below-target control,103.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.5276657,1.7734,1547.0579,False,False
Mn0.5Fe0.5NiSi,465.0,"SOMT, orthorhombic FM–PM",Pass,Fail,Pass,Pass,Guisado-Arenas et al. [29],Above-target control,465.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,False,False,False,True,False,True,False,0.5502937201149425,4.5,1693.3333333333333,True,False
MnNiSi,622.0,FM–PM Curie transition,Fail,Fail,Fail,Pass,Johnson and Frederick [51],Above-target control,622.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,False,False,False,False,False,False,True,False,0.19856827356321832,4.333333333333333,1644.6666666666665,False,False
Mn0.5Fe0.4Cu0.1NiSi,465.0,"SOMT, orthorhombic FM–PM",Pass,Fail,Pass,Pass,Guisado-Arenas et al. [29],Above-target control,465.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,False,False,False,True,False,True,False,0.4799382934482758,4.633333333333333,1678.2256666666665,True,False
Mn0.5Fe0.5Ni0.90Cu0.10Si,427.0,"SOMT, orthorhombic FM–PM",Pass,Fail,Pass,Pass,Guisado-Arenas et al. [29],Above-target control,427.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,False,False,False,True,False,True,False,0.5304472301149425,4.566666666666666,1680.9923333333331,True,False
Mn0.5Fe0.5Ni0.85Cu0.15Si,414.0,"FOMT, coupled magnetostructural",Pass,Fail,Pass,Pass,Guisado-Arenas et al. [29],Above-target control,414.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,False,False,False,True,False,True,False,0.5205239851149425,4.6,1674.8218333333332,True,False
