record_id,source,doi,composition,composition_dict,state,TC_K,TC_relation,target_250_350,cohort,analysis_role,phase_state,quality_flag,transition_assignment,note,dX_direct,VEC_direct,sigma_direct,dHmix_direct,dSmix_direct,avg_d_valence_electrons_direct,mag_moment_mean_direct,rule_pass_direct,rule_checks_direct,dX_legacy,VEC_legacy,sigma_legacy,dHmix_legacy,dSmix_legacy,avg_d_valence_electrons_legacy,mag_moment_mean_legacy,rule_pass_legacy,rule_checks_legacy,entropy_class,dSmix_over_R,model_pred_TC_K,model_abs_error_K,nearest_training_distance_z,within_training_feature_ranges,mag_moment_mean,avg_d_valence_electrons,melting_point_mean,pass::v2_250_350
IND-0,"Induja et al., J. Solid State Chem. 349 (2025) 125412",10.1016/j.jssc.2025.125412,FeCoNiCr0.63,"{""Fe"": 1, ""Co"": 1, ""Ni"": 1, ""Cr"": 0.63}",as-prepared,,outside_above,0,primary,classification_only,FCC-dominant,censored,Curie temperature,Reported only as TC > 350 K.,0.0861840787890153,8.479338842975206,0.3113759662897752,-3.2056098171800653,11.38536303969696,6.652892561983471,1.1720464738292011,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.0838169906495948,8.53729026884649,0.3111040832692686,-3.0901640703175017,11.32035416496871,6.652892561983471,1.1720464738292011,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",MEA/CCA (S/R < 1.5),1.369420620603435,305.1827698345432,,0.1313198211970102,True,1.1720464738292011,6.652892561983471,1840.3305785123966,True
IND-025,"Induja et al., J. Solid State Chem. 349 (2025) 125412",10.1016/j.jssc.2025.125412,FeCoNiCr0.63Gd0.025,"{""Fe"": 1, ""Co"": 1, ""Ni"": 1, ""Cr"": 0.63, ""Gd"": 0.025}",as-prepared,275.0,exact,1,primary,classification_and_regression,FCC + Gd-Ni-rich HCP secondary phase,multiphase,Curie temperature,,0.1006348018171172,8.441860465116278,3.6681959357213008,-3.5142534728395223,11.647642280171109,6.614227086183311,1.1640297400820794,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.1200573471496496,8.433709986298656,5.984244369425349,-3.976633599145697,11.8814594352075,6.614227086183311,1.1640297400820794,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",MEA/CCA (S/R < 1.5),1.400967317797824,272.022415268418,2.9775847315819988,0.3633696252359469,True,1.1640297400820794,6.614227086183311,1838.5909712722298,True
IND-050,"Induja et al., J. Solid State Chem. 349 (2025) 125412",10.1016/j.jssc.2025.125412,FeCoNiCr0.63Gd0.05,"{""Fe"": 1, ""Co"": 1, ""Ni"": 1, ""Cr"": 0.63, ""Gd"": 0.05}",as-prepared,317.0,exact,1,primary,classification_and_regression,FCC + Gd-Ni-rich HCP secondary phase,multiphase,Curie temperature,Critical analysis also gives approximately 323 K; 317 K dM/dT value retained.,0.1129302186590879,8.404891304347828,5.127919761879017,-3.814242674858225,11.828445012147926,6.57608695652174,1.1561219293478264,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.1458074329830212,8.333933682173985,8.23681009391764,-4.796505984832839,12.213174717591093,6.57608695652174,1.1561219293478264,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",MEA/CCA (S/R < 1.5),1.422714098165495,335.6541969912086,18.654196991208607,0.5744795582709064,True,1.1561219293478264,6.57608695652174,1836.8750000000002,True
PAN-0,"Pan and Li, J. Magn. Magn. Mater. 641 (2026) 173793",10.1016/j.jmmm.2025.173793,Mn20Co20Ni20Fe26Cu14,"{""Mn"": 20, ""Co"": 20, ""Ni"": 20, ""Fe"": 26, ""Cu"": 14}","950 °C/1 d, quenched",274.0,exact,1,primary,classification_and_regression,single-phase FCC,clean,Curie temperature,"Endpoint assignment follows abstract, Fig. 2 and conclusion; tables reverse endpoint labels.",0.1331839329649038,8.82,3.238363725876553,0.7567999999999999,13.228885083080533,6.960000000000001,0.9776075321379312,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.1310469698845605,8.8797950969969,3.1726577657379256,1.1034661342259644,13.280176013319023,6.960000000000001,0.9776075321379312,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5911576958239753,252.064062132814,21.935937867186,0.1408799094689376,True,0.9776075321379312,6.960000000000001,1663.9478000000001,True
PAN-2,"Pan and Li, J. Magn. Magn. Mater. 641 (2026) 173793",10.1016/j.jmmm.2025.173793,Mn20Co20Ni20Fe28Cu12,"{""Mn"": 20, ""Co"": 20, ""Ni"": 20, ""Fe"": 28, ""Cu"": 12}","950 °C/1 d, quenched",257.0,exact,1,primary,classification_and_regression,single-phase FCC,clean,Curie temperature,,0.1325950225310135,8.76,3.255937497214598,0.3391999999999999,13.10722686322071,6.880000000000001,1.019820788137931,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.1306098087973413,8.81614730982136,3.1932344101125976,0.661211933475903,13.175587552084664,6.880000000000001,1.019820788137931,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5765247610320796,270.8057846107567,13.805784610756689,0.2221508174688227,True,1.019820788137931,6.880000000000001,1673.0124,True
PAN-4,"Pan and Li, J. Magn. Magn. Mater. 641 (2026) 173793",10.1016/j.jmmm.2025.173793,Mn20Co20Ni20Fe30Cu10,"{""Mn"": 20, ""Co"": 20, ""Ni"": 20, ""Fe"": 30, ""Cu"": 10}","950 °C/1 d, quenched",242.0,exact,0,primary,classification_and_regression,single-phase FCC,clean,Curie temperature,,0.1319886358744569,8.7,3.2724183420126924,-0.1199999999999998,12.945838297251267,6.8,1.062034044137931,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.1301494376332188,8.752159263802097,3.212780827370988,0.1697435740244384,13.028272249928651,6.8,1.062034044137931,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5571130980576458,378.1884661450875,136.1884661450875,0.3263240289072846,True,1.062034044137931,6.8,1682.077,True
ROC-PD-020-R,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.75FeNiPd0.2,"{""Co"": 1, ""Cr"": 0.75, ""Fe"": 1, ""Ni"": 1, ""Pd"": 0.2}",as-rolled,347.0,exact,1,primary,classification_and_regression,FCC-dominant,clean,Curie temperature,,0.1195703465646886,8.481012658227847,2.26632284453325,-3.909629867008491,12.552720670821795,6.772151898734176,1.0770958734177214,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.1344553744780138,8.602747532252787,2.949455608404993,-4.077453190802042,12.914655765970444,6.772151898734176,1.0770958734177214,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5098292844385128,184.2909885969753,162.7090114030247,0.0958472239841731,True,1.0770958734177214,6.772151898734176,1850.0278481012656,True
ROC-PD-020-A,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.75FeNiPd0.2,"{""Co"": 1, ""Cr"": 0.75, ""Fe"": 1, ""Ni"": 1, ""Pd"": 0.2}",annealed,329.0,exact,1,process_sensitivity,paired_process_state,FCC-dominant,clean,Curie temperature,,0.1195703465646886,8.481012658227847,2.26632284453325,-3.909629867008491,12.552720670821795,6.772151898734176,1.0770958734177214,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.1344553744780138,8.602747532252787,2.949455608404993,-4.077453190802042,12.914655765970444,6.772151898734176,1.0770958734177214,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5098292844385128,184.2909885969753,144.7090114030247,0.0958472239841731,True,1.0770958734177214,6.772151898734176,1850.0278481012656,True
ROC-PD-040-R,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.9FeNiPd0.4,"{""Co"": 1, ""Cr"": 0.9, ""Fe"": 1, ""Ni"": 1, ""Pd"": 0.4}",as-rolled,310.0,exact,1,primary,classification_and_regression,FCC-dominant,clean,Curie temperature,,0.1414511823668123,8.465116279069768,2.9749797997559577,-4.586262844780963,13.018922287649811,6.8604651162790695,0.9894252790697674,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.1608029714846391,8.638660460187571,3.739072940371513,-4.899391230664459,13.312491387200152,6.8604651162790695,0.9894252790697674,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5659035708022389,222.26326142752703,87.73673857247297,0.0802755242988287,True,0.9894252790697674,6.8604651162790695,1860.5162790697675,True
ROC-PD-040-A,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.9FeNiPd0.4,"{""Co"": 1, ""Cr"": 0.9, ""Fe"": 1, ""Ni"": 1, ""Pd"": 0.4}",annealed,273.0,exact,1,process_sensitivity,paired_process_state,FCC-dominant,clean,Curie temperature,,0.1414511823668123,8.465116279069768,2.9749797997559577,-4.586262844780963,13.018922287649811,6.8604651162790695,0.9894252790697674,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.1608029714846391,8.638660460187571,3.739072940371513,-4.899391230664459,13.312491387200152,6.8604651162790695,0.9894252790697674,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5659035708022389,222.26326142752703,50.73673857247297,0.0802755242988287,True,0.9894252790697674,6.8604651162790695,1860.5162790697675,True
ROC-PD-060-R,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr1.05FeNiPd0.6,"{""Co"": 1, ""Cr"": 1.05, ""Fe"": 1, ""Ni"": 1, ""Pd"": 0.6}",as-rolled,284.0,exact,1,primary,classification_and_regression,phase separation after annealing,process_sensitive,Curie temperature,,0.1572009178401222,8.451612903225808,3.413776513448104,-5.189039195282692,13.233918159542778,6.935483870967743,0.9149524086021508,True,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": true}",0.1773933438949952,8.667417507223739,4.165722600729014,-5.562909448864066,13.368521291529516,6.935483870967743,0.9149524086021508,True,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": true}",HEA (S/R ≥ 1.5),1.5917630694662952,194.225588060986,89.77441193901402,0.1672060395396769,True,0.9149524086021507,6.935483870967743,1869.4258064516132,False
ROC-PD-060-A,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr1.05FeNiPd0.6,"{""Co"": 1, ""Cr"": 1.05, ""Fe"": 1, ""Ni"": 1, ""Pd"": 0.6}",annealed,261.0,exact,1,process_sensitivity,paired_process_state,phase separation after annealing,process_sensitive,Curie temperature,,0.1572009178401222,8.451612903225808,3.413776513448104,-5.189039195282692,13.233918159542778,6.935483870967743,0.9149524086021508,True,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": true}",0.1773933438949952,8.667417507223739,4.165722600729014,-5.562909448864066,13.368521291529516,6.935483870967743,0.9149524086021508,True,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": true}",HEA (S/R ≥ 1.5),1.5917630694662952,194.225588060986,66.77441193901402,0.1672060395396769,True,0.9149524086021507,6.935483870967743,1869.4258064516132,False
ROC-CU-030-R,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.75FeNiCu0.3,"{""Co"": 1, ""Cr"": 0.75, ""Fe"": 1, ""Ni"": 1, ""Cu"": 0.3}",as-rolled,310.0,exact,1,primary,classification_and_regression,FCC-dominant,clean,Curie temperature,,0.088761912050949,8.592592592592593,0.7219664536282372,-0.585276634659351,12.81332487340219,6.851851851851852,1.050500913580247,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.0861803991155687,8.671686545735897,0.7506841265250651,-0.2433642541293992,12.843521651916015,6.851851851851852,1.050500913580247,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5411745096706988,376.2106443768829,66.21064437688284,0.2660513604921495,True,1.050500913580247,6.851851851851852,1814.6496296296298,True
ROC-CU-030-A,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.75FeNiCu0.3,"{""Co"": 1, ""Cr"": 0.75, ""Fe"": 1, ""Ni"": 1, ""Cu"": 0.3}",annealed,286.0,exact,1,process_sensitivity,paired_process_state,FCC-dominant,clean,Curie temperature,,0.088761912050949,8.592592592592593,0.7219664536282372,-0.585276634659351,12.81332487340219,6.851851851851852,1.050500913580247,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.0861803991155687,8.671686545735897,0.7506841265250651,-0.2433642541293992,12.843521651916015,6.851851851851852,1.050500913580247,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5411745096706988,376.2106443768829,90.21064437688284,0.2660513604921495,True,1.050500913580247,6.851851851851852,1814.6496296296298,True
