TC,H,dS,dS_ref,RC,dX,VEC,δ,dHmix,dSmix,nunfilled_mean,mag_moment_mean,avg_d_valence_electrons,bandgap_mean,melting_point_mean,electronegativity_range
198,5,8.2,8.2,634.4,0.0516599457994295,3,0.7285100685803332,0,11.52634446553133,7,0,0.25,0,1661.75,0.03000000000000003
193,5,7.8,7.8,665.5,0.1447907171116943,3.297,9.711483186344838,0.3996,13.43761283799926,7.084669915330083,2.266312733687266e-08,0.2583727416272583,0,1661.178376821623,0.1600000000000001
186,5,7.5,7.5,684.3,0.0522306697207684,3.0036,0.8159965620037698,0.0079936,11.62711504667778,7.091483,4.51612e-08,0.26101,0,1661.721758,0.1600000000000001
181,5,7.4,7.4,802.4,0.052559134821456,3.0066,0.8714375645457357,0.0119904,11.66867268678802,7.098240000000001,6.75005e-08,0.263628,0,1662.261386,0.1600000000000001
181,5,8.6,8.6,698.2,0.0529118929194561,3.0096,0.9340683886638392,0.0159872,11.70740507581538,7.104957,8.968105e-08,0.266228,0,1662.79707,0.1600000000000001
176,5,8.2,8.2,694.4,0.0532885657012833,3.0126,1.002513814795891,0.019984,11.74403662732994,7.111629111629111,1.117093117093117e-07,0.2688102688102688,0,1663.329078329078,0.1600000000000001
160,5,6.82,6.82,883.19,0.0568410450833268,2.9991,0.5298347917921815,0,11.52445011068683,3.519579,0,0,0,1706.646427,0.03000000000000003
163.9,5,6.7,6.7,1049.22,0.0557192460017182,3,0.5272245091155157,0,11.51998645138274,3.479622,0,0,0,1708.679275,0.03000000000000003
55,5,5.1,5.1,446,0.2534087607009671,4,13.96548149598668,-21.44,13.38167152293333,5.2996182996183,0.5151267674319675,1.551029551029551,0,1339.591697861698,0.6300000000000001
39,5,10.2,10.2,625,0.2697702726395182,4.2,13.74851532583833,-32.32,13.38167152293333,5.082190082190082,0.362754516893717,1.727660727660728,0,1323.411236361236,0.6799999999999999
25,5,9.5,9.5,511,0.2798142240844807,4.4,13.85672651755875,-37.28000000000001,13.38167152293333,4.845200845200845,0.1399167036273036,1.967698967698968,0,1314.436202556202,0.71
190,5,8.64,8.64,924.48,0.0570173946791678,3,0.9643406874906084,0,11.42670144483861,6.5,0,0.25,0,1683,0.04000000000000004
127,5,5.92,5.92,390.72,0.0619653397452962,2.9925,2.489627217050669,0.163296,13.36283894617653,7,0,0.4,0,1585,0.1399999999999999
120,5,5.85,5.85,245.7,0.059222803243683,3.0003,2.259946937318165,0.11537568,14.89425976717486,7.333333333333332,0,0.5,0,1620.666666666667,0.1399999999999999
135,5,6.92,6.92,498.24,0.0555442494233201,3,3.04188408733199,0,13.37745461469495,7.4,0,0.2,0,1587.2,0.1100000000000001
186,5,8.6,8.6,627,0.050754310161798,3,0.8553072992371988,0,13.38167152293333,6.093641000000001,0,0.206154,0,1681.828611,0.04000000000000004
