Source,n_records,manuscript_reference_number,reference_text
Zheng et al. [24],4,24,"Z. Zheng, P. Huang, X. Chen, H. Wang, S. Da, G. Wang, Z. Qiu, D. Zeng, Entropy 26 (2024) 799."
Wei et al. [25],1,25,"S. Wei, H. Shen, L. Zhang, F. Cao, J. Sun, J. Mater. Res. Technol. 33 (2024) 6216–6222."
Wei et al. [26],3,26,"S. Wei, A. Dahlström, H. Shen, L. Zhang, S. Schönecker, L. Vitos, J. Sun, X. Li, J. Alloys Compd. 1006 (2024) 176308."
Qu et al. [27],1,27,"Y. Qu, Z. Wu, W. Peng, Y. Cao, A. Gamzatov, J. Rare Earths (2026), in press."
Gao et al. [28],4,28,"L. Gao, Q. Li, J. Xu, X. Jin, J. Cheng, Intermetallics 189 (2026) 109113."
Guisado-Arenas et al. [29],6,29,"E. Guisado-Arenas, Z. Cui, L.M. Moreno-Ramírez, C. Romero-Muñiz, J.Y. Law, V. Franco, Mater. Futures 5 (2026) 025601."
Zhai et al. [30],3,30,"X. Zhai, X. Si, Y. Dong, Y. Liu, Intermetallics 188 (2026) 109024."
Pei et al. [31],3,31,"Z. Pei, H. Yin, S. Shao, Y. Zhang, M. Gao, L. Song, W. Xu, Y. Tong, X. Jin, J. Xu, M. Xiang, J.-Q. Wang, J. Huo, J. Non-Cryst. Solids 671 (2026) 123838."
Huang et al. [32],4,32,"P.Y. Huang, Z.G. Zheng, S. Da, Z.G. Qiu, G. Wang, D.C. Zeng, J. Alloys Compd. 1007 (2024) 176394."
Xue et al. [33],2,33,"L. Xue, L. Shao, B. Zhang, Z. Li, J. Cheng, B. Shen, J. Rare Earths 42 (2024) 129–136."
Johnson and Frederick [51],1,51,"V. Johnson, C.G. Frederick, Phys. Status Solidi A 20 (1973) 331–335."
