feature_set,model,fold,regressor__alpha,regressor__fit_intercept,regressor__max_depth,regressor__max_features,regressor__min_samples_leaf,regressor__min_samples_split,regressor__n_estimators,regressor__learning_rate,regressor__subsample,regressor__C,regressor__epsilon,regressor__gamma,regressor__colsample_bytree,regressor__min_child_weight,regressor__reg_lambda,regressor__min_child_samples,regressor__num_leaves
hea,DummyMean,1,,,,,,,,,,,,,,,,,
hea,DummyMean,2,,,,,,,,,,,,,,,,,
hea,DummyMean,3,,,,,,,,,,,,,,,,,
hea,DummyMean,4,,,,,,,,,,,,,,,,,
hea,DummyMean,5,,,,,,,,,,,,,,,,,
hea,DummyMean,6,,,,,,,,,,,,,,,,,
hea,DummyMean,7,,,,,,,,,,,,,,,,,
hea,DummyMean,8,,,,,,,,,,,,,,,,,
hea,DummyMean,9,,,,,,,,,,,,,,,,,
hea,DummyMean,10,,,,,,,,,,,,,,,,,
hea,Ridge,1,1e-05,True,,,,,,,,,,,,,,,
hea,Ridge,2,20.0,True,,,,,,,,,,,,,,,
hea,Ridge,3,7.0,True,,,,,,,,,,,,,,,
hea,Ridge,4,7.0,True,,,,,,,,,,,,,,,
hea,Ridge,5,1.0,True,,,,,,,,,,,,,,,
hea,Ridge,6,20.0,True,,,,,,,,,,,,,,,
hea,Ridge,7,20.0,True,,,,,,,,,,,,,,,
hea,Ridge,8,20.0,True,,,,,,,,,,,,,,,
hea,Ridge,9,10.0,True,,,,,,,,,,,,,,,
hea,Ridge,10,20.0,True,,,,,,,,,,,,,,,
hea,RandomForest,1,,,5.0,0.6,3.0,2.0,600.0,,,,,,,,,,
hea,RandomForest,2,,,10.0,sqrt,3.0,5.0,200.0,,,,,,,,,,
hea,RandomForest,3,,,5.0,sqrt,1.0,3.0,600.0,,,,,,,,,,
hea,RandomForest,4,,,30.0,sqrt,1.0,3.0,200.0,,,,,,,,,,
hea,RandomForest,5,,,10.0,0.6,1.0,2.0,100.0,,,,,,,,,,
hea,RandomForest,6,,,30.0,sqrt,1.0,3.0,200.0,,,,,,,,,,
hea,RandomForest,7,,,,1.0,1.0,3.0,800.0,,,,,,,,,,
hea,RandomForest,8,,,20.0,sqrt,2.0,8.0,800.0,,,,,,,,,,
hea,RandomForest,9,,,30.0,sqrt,1.0,3.0,200.0,,,,,,,,,,
hea,RandomForest,10,,,30.0,0.6,1.0,3.0,800.0,,,,,,,,,,
hea,GradientBoosting,1,,,5.0,0.8,3.0,,800.0,0.05,0.6,,,,,,,,
hea,GradientBoosting,2,,,4.0,sqrt,2.0,,200.0,0.1,0.9,,,,,,,,
hea,GradientBoosting,3,,,4.0,sqrt,3.0,,200.0,0.1,0.9,,,,,,,,
hea,GradientBoosting,4,,,5.0,sqrt,2.0,,600.0,0.1,0.6,,,,,,,,
hea,GradientBoosting,5,,,4.0,sqrt,2.0,,800.0,0.05,0.6,,,,,,,,
hea,GradientBoosting,6,,,4.0,sqrt,2.0,,100.0,0.1,0.8,,,,,,,,
hea,GradientBoosting,7,,,3.0,sqrt,3.0,,400.0,0.1,1.0,,,,,,,,
hea,GradientBoosting,8,,,2.0,sqrt,3.0,,400.0,0.05,0.6,,,,,,,,
hea,GradientBoosting,9,,,5.0,sqrt,2.0,,600.0,0.1,0.6,,,,,,,,
hea,GradientBoosting,10,,,4.0,sqrt,3.0,,200.0,0.1,0.9,,,,,,,,
hea,SVR,1,,,,,,,,,,1000.0,0.05,scale,,,,,
hea,SVR,2,,,,,,,,,,30.0,0.2,0.3,,,,,
hea,SVR,3,,,,,,,,,,10.0,0.01,0.3,,,,,
hea,SVR,4,,,,,,,,,,1000.0,0.03,1.0,,,,,
hea,SVR,5,,,,,,,,,,1000.0,0.03,1.0,,,,,
hea,SVR,6,,,,,,,,,,1000.0,0.05,0.3,,,,,
hea,SVR,7,,,,,,,,,,500.0,0.2,0.3,,,,,
hea,SVR,8,,,,,,,,,,1000.0,0.03,1.0,,,,,
hea,SVR,9,,,,,,,,,,30.0,0.2,0.3,,,,,
hea,SVR,10,,,,,,,,,,1000.0,0.03,1.0,,,,,
hea,XGBoost,1,,,4.0,,,,800.0,0.03,0.6,,,,0.8,5.0,1.0,,
