feature_set,model,fold,n_train,n_test,n_train_references,n_test_references,inner_best_r2,r2,rmse,mae
hea,DummyMean,1,126,15,37,5,,-0.13136125452123903,110.4014566600145,96.58412698412698
hea,DummyMean,2,127,14,36,6,,-0.010667539304584306,156.93050513094192,116.6209223847019
hea,DummyMean,3,122,19,40,2,,-0.011936870691040102,178.85245430413866,140.30207075064712
hea,DummyMean,4,127,14,38,4,,-0.0019371258650850987,96.49898630595706,82.69190101237346
hea,DummyMean,5,127,14,38,4,,-0.000925877865647351,111.32401022016353,100.7142857142857
hea,DummyMean,6,127,14,37,5,,-0.07997116281031569,134.19974254644913,122.793025871766
hea,DummyMean,7,127,14,38,4,,-0.03952398651768374,242.1105680113294,178.71428571428572
hea,DummyMean,8,128,13,38,4,,-0.008096640393017607,137.70864087498146,125.42788461538461
hea,DummyMean,9,129,12,38,4,,-0.002507165577931625,144.97403982169436,134.19444444444443
hea,DummyMean,10,129,12,38,4,,-0.0665755718454013,112.50619917619532,103.24031007751937
hea,Ridge,1,126,15,37,5,0.3580911242703416,-3.099594717177861,210.1573653611023,96.70874128665021
hea,Ridge,2,127,14,36,6,0.2767246635191898,0.47346594350761395,113.27040346739233,88.00354587276891
hea,Ridge,3,122,19,40,2,0.3278752853320923,-0.21081638779955947,195.6398581466539,161.01686928553306
hea,Ridge,4,127,14,38,4,0.2699312655095186,0.5920047161542366,61.5786392965917,50.74878853657226
hea,Ridge,5,127,14,38,4,0.251335417676043,0.7849165749354488,51.604949283363624,42.255010990998876
hea,Ridge,6,127,14,37,5,0.24761161120062142,0.6918071086801051,71.68972454192782,51.19525634973284
hea,Ridge,7,127,14,38,4,0.3359120115216397,0.27772438844834213,201.81245451388526,163.30963767430873
hea,Ridge,8,128,13,38,4,0.2906688690368605,0.41793422555818427,104.6396166744316,86.69377359959763
hea,Ridge,9,129,12,38,4,0.32414219948662015,0.5542998124518375,96.6646998398316,73.72316551158234
hea,Ridge,10,129,12,38,4,0.4078700212792115,-0.4634909130540916,131.7879346363701,109.43407273144362
hea,RandomForest,1,126,15,37,5,0.5262899130797688,0.5409086816329836,70.32725928933056,58.85358664364301
hea,RandomForest,2,127,14,36,6,0.47557233662933046,0.8199198146463123,66.24241826641892,50.33307669923907
hea,RandomForest,3,122,19,40,2,0.46550234821452496,0.514475225928323,123.88647374309366,81.23226395414747
hea,RandomForest,4,127,14,38,4,0.5516611217134877,0.018616252000826283,95.5040848547271,83.06890008503403
hea,RandomForest,5,127,14,38,4,0.5740133680009466,0.8828746679347131,38.08143465077828,23.333840205492073
hea,RandomForest,6,127,14,37,5,0.5393925633600728,0.8537210096593055,49.38972182302668,30.278359268707494
hea,RandomForest,7,127,14,38,4,0.7443385247198544,0.05931146851193925,230.3135098567908,157.11616462585033
hea,RandomForest,8,128,13,38,4,0.570095266201893,0.6707714369615834,78.69712404715962,64.84156606719101
hea,RandomForest,9,129,12,38,4,0.5489422803932593,0.9177409896843255,41.52773440855474,33.06392123015874
hea,RandomForest,10,129,12,38,4,0.5806743434285897,0.2281878031061706,95.70540279990938,80.0643618882274
hea,GradientBoosting,1,126,15,37,5,0.6030202214939753,0.906485140609671,31.74055128090623,23.30250273072234
hea,GradientBoosting,2,127,14,36,6,0.47514129818174045,0.9365666657140699,39.31533531892321,29.028198713571925
hea,GradientBoosting,3,122,19,40,2,0.5225402943806434,0.6778830564804263,100.90785602544715,62.89035998053735
hea,GradientBoosting,4,127,14,38,4,0.6239569944934678,-0.369890075494437,112.83540089376775,98.90698764325978
