feature_set,model,candidate_budget,n_records,n_references,n_features,oof_r2,oof_rmse,oof_mae,fold_r2_mean,fold_r2_sd,fold_mae_mean,fold_mae_sd,n_negative_predictions,min_prediction_K,max_prediction_K
combined,RandomForest,60,141,42,11,0.5766107014551272,97.16953259429265,59.54260290006564,0.6366673329141392,0.2543072971162168,59.10060775915589,31.383576242696794,0,33.89524501054501,421.51169866522355
combined,LightGBM,60,141,42,11,0.5761146803726724,97.22643534142688,57.480186340770764,0.6451607466255783,0.26189868027221946,56.68958931943369,30.96251630756326,0,23.486119023977277,486.60809818177495
combined,GradientBoosting,60,141,42,11,0.5703546193888223,97.88479795106188,58.599511130095685,0.6230382637177418,0.29283648955874203,58.341663495009165,34.54801424486983,0,21.408065270443945,564.9381932991394
combined,XGBoost,60,141,42,11,0.4891354184109349,106.73652815499722,65.92979940049193,0.564018566529123,0.30317834264241705,63.922409704431594,35.94902983132469,1,-20.45658302307129,550.8668823242188
combined,SVR,60,141,42,11,0.2675862561440313,127.802225925894,75.9068946579581,0.23359037728751703,0.6049648636023093,74.90497847525815,44.35579348648762,0,13.331488649003745,487.61931067832086
combined,DummyMean,0,141,42,11,-0.0058043304345787305,149.76727429751958,120.67916803582658,-0.03535031953919458,0.044073050319549806,120.12832575695352,27.289728293938577,0,204.36220472440945,212.6755905511811
combined,Ridge,60,141,42,11,-5.4709976328731855,379.8794458461611,135.9712006314574,-10.798271949525494,34.83285986286086,132.40527752869508,96.06997069519157,0,81.26713689840113,4194.772117338087
hea,LightGBM,60,141,42,5,0.6067837747647933,93.64312326152682,57.664585409703825,0.6393106277984695,0.32769719347228876,57.3364452850394,29.75711488325597,0,8.10296125279497,475.68442539775305
hea,XGBoost,60,141,42,5,0.5979179062799084,94.69292714933209,58.712797438168366,0.6668860957817069,0.22674590667461425,57.70211958879861,35.932386111163744,0,26.288745880126953,520.053955078125
hea,GradientBoosting,60,141,42,5,0.5760961412875547,97.22856147008598,57.17148993712151,0.5882878979419154,0.41660371808586805,56.947320785937265,36.97104126874778,0,19.785222268663784,630.317653706361
hea,RandomForest,60,141,42,5,0.5028894813488481,105.28988508366199,66.98242087558926,0.5506527350066482,0.34217852581062336,66.21860406676907,38.73261737860601,0,31.850783333333332,444.82928928571425
hea,SVR,60,141,42,5,0.2718236264691998,127.43199058135347,77.20747350621755,0.28569280555517446,0.6488108664147546,75.27419104622814,45.68286723304611,0,18.282227919519926,447.4904876610203
hea,Ridge,60,141,42,5,0.12074363799391497,140.0289831259147,94.83708442111563,0.0018250751704256053,1.1592670242378202,92.30888618391886,42.67835978725278,1,-8.219665810100224,766.6915091048434
hea,DummyMean,0,141,42,5,-0.0058043304345787305,149.76727429751958,120.67916803582658,-0.03535031953919458,0.044073050319549806,120.12832575695352,27.289728293938577,0,204.36220472440945,212.6755905511811
matminer,RandomForest,60,141,42,6,0.5908382013092497,95.52294752153465,61.46483809542238,0.6479591304811556,0.21234911261624329,60.99908549012431,27.27262479457446,0,33.2276652745947,431.35547142857155
matminer,GradientBoosting,60,141,42,6,0.49443094589884096,106.18188154412283,62.10660588575426,0.5361615768005079,0.3265472202764684,61.44260183929116,32.80492150872573,0,10.201713708710717,669.5636275067483
matminer,XGBoost,60,141,42,6,0.4885004799053294,106.80283739771342,66.81027666118973,0.5684801591843532,0.2351173039654858,65.09833653421285,29.347308263378345,3,-36.836082458496094,554.601318359375
matminer,LightGBM,60,141,42,6,0.44433294335055384,111.31853963427027,74.21179915480731,0.5175167981313209,0.28716866976881367,72.38107547056585,32.028114566168234,0,19.717828853624983,665.9627109366581
matminer,SVR,60,141,42,6,0.41117547186121894,114.59168926899939,70.72891503720984,0.4593865733200243,0.4996472695970206,69.22322898330982,39.545364126684916,0,9.069298897351558,503.63043365539477
matminer,DummyMean,0,141,42,6,-0.0058043304345787305,149.76727429751958,120.67916803582658,-0.03535031953919458,0.044073050319549806,120.12832575695352,27.289728293938577,0,204.36220472440945,212.6755905511811
matminer,Ridge,60,141,42,6,-4.715423587729,357.0132928721978,139.38329185897,-9.289902155128706,29.91526329452501,136.07764473837454,94.24411600591144,0,97.79631094462852,3872.0110846584257
