stratum_type,stratum,rule,n,n_positive,n_selected,TP,TN,FP,FN,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,specificity,specificity_ci_low,specificity_ci_high,balanced_accuracy,F1,MCC,prevalence,enrichment
overall,All external records,250–350 K,32,7,14,7,18,7,0,0.5,0.26799202452413634,0.7320079754758637,1.0,0.6456695649333126,1.0,0.72,0.5242339480963842,0.8571614614904344,0.86,0.6666666666666666,0.6,0.21875,2.2857142857142856
overall,All external records,280–320 K strict,32,2,0,0,30,0,2,,,,0.0,0.0,0.6576197724933469,1.0,0.8864866068260312,0.9999999999999999,0.5,,,0.0625,
overall,All external records,280–320 K VEC–δ core,32,2,14,2,18,12,0,0.14285714285714285,0.040093921271464966,0.39941379496970353,1.0,0.34238022750665303,1.0,0.6,0.42320360253322475,0.7540937188319815,0.8,0.25,0.29277002188455997,0.0625,2.2857142857142856
overall,All external records,300–400 K,32,2,15,2,17,13,0,0.13333333333333333,0.03736125910306537,0.37881982832322364,1.0,0.34238022750665303,1.0,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.7833333333333333,0.23529411764705882,0.2748737083745107,0.0625,2.1333333333333333
validation_role,Experimental HEA/MEA/CCA domain,250–350 K,14,0,0,0,14,0,0,,,,,,,1.0,0.7846891972623643,1.0,,,,0.0,
validation_role,Experimental HEA/MEA/CCA domain,280–320 K strict,14,0,0,0,14,0,0,,,,,,,1.0,0.7846891972623643,1.0,,,,0.0,
validation_role,Experimental HEA/MEA/CCA domain,280–320 K VEC–δ core,14,0,0,0,14,0,0,,,,,,,1.0,0.7846891972623643,1.0,,,,0.0,
validation_role,Experimental HEA/MEA/CCA domain,300–400 K,14,0,0,0,14,0,0,,,,,,,1.0,0.7846891972623643,1.0,,,,0.0,
validation_role,Mn–Ni–Si intermetallic OOD stress test,250–350 K,15,7,14,7,1,7,0,0.5,0.26799202452413634,0.7320079754758637,1.0,0.6456695649333126,1.0,0.125,0.02241749145005667,0.4708881822128535,0.5625,0.6666666666666666,0.25,0.4666666666666667,1.0714285714285714
validation_role,Mn–Ni–Si intermetallic OOD stress test,280–320 K strict,15,2,0,0,13,0,2,,,,0.0,0.0,0.6576197724933469,1.0,0.7719046276458016,0.9999999999999999,0.5,,,0.13333333333333333,
validation_role,Mn–Ni–Si intermetallic OOD stress test,280–320 K VEC–δ core,15,2,14,2,1,12,0,0.14285714285714285,0.040093921271464966,0.39941379496970353,1.0,0.34238022750665303,1.0,0.07692307692307693,0.013710421242556586,0.3331395092109959,0.5384615384615384,0.25,0.10482848367219183,0.13333333333333333,1.0714285714285714
validation_role,Mn–Ni–Si intermetallic OOD stress test,300–400 K,15,2,15,2,0,13,0,0.13333333333333333,0.03736125910306537,0.37881982832322364,1.0,0.34238022750665303,1.0,0.0,0.0,0.22809537235419838,0.5,0.23529411764705882,,0.13333333333333333,1.0
validation_role,Simulation sensitivity records,250–350 K,3,0,0,0,3,0,0,,,,,,,1.0,0.4385029682449546,1.0,,,,0.0,
validation_role,Simulation sensitivity records,280–320 K strict,3,0,0,0,3,0,0,,,,,,,1.0,0.4385029682449546,1.0,,,,0.0,
validation_role,Simulation sensitivity records,280–320 K VEC–δ core,3,0,0,0,3,0,0,,,,,,,1.0,0.4385029682449546,1.0,,,,0.0,
validation_role,Simulation sensitivity records,300–400 K,3,0,0,0,3,0,0,,,,,,,1.0,0.4385029682449546,1.0,,,,0.0,
