set,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment
"Historical 32 records, v1 locked",32,7,7,18,7,0,0.5,1.0,0.72,0.86,0.6666666666666666,0.6,0.21875,2.2857142857142856
"Historical 32 records, v2 frozen",32,7,7,14,11,0,0.3888888888888889,1.0,0.56,0.78,0.56,0.4666666666666667,0.21875,1.777777777777778
"Historical experimental records, v2",29,7,7,14,8,0,0.4666666666666667,1.0,0.6363636363636364,0.8181818181818181,0.6363636363636364,0.5449492609130661,0.2413793103448276,1.9333333333333333
Historical v2: Experimental HEA/MEA/CCA domain,14,0,0,13,1,0,0.0,0.0,0.9285714285714286,0.4642857142857143,0.0,0.0,0.0,
Historical v2: Mn–Ni–Si intermetallic OOD stress test,15,7,7,1,7,0,0.5,1.0,0.125,0.5625,0.6666666666666666,0.25,0.4666666666666667,1.0714285714285714
Historical v2: Simulation sensitivity records,3,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Targeted five-paper primary challenge, v1",13,9,1,3,1,8,0.5,0.1111111111111111,0.75,0.4305555555555556,0.1818181818181818,-0.17766726362967536,0.6923076923076923,0.7222222222222222
"Targeted five-paper primary challenge, v2",13,9,8,0,4,1,0.6666666666666666,0.8888888888888888,0.0,0.4444444444444444,0.761904761904762,-0.19245008972987526,0.6923076923076923,0.9629629629629629
"Targeted challenge clean subset, v2",6,5,5,0,1,0,0.8333333333333334,1.0,0.0,0.5,0.9090909090909091,0.0,0.8333333333333334,1.0
"Multi-transition ambiguity stress, v2",5,3,0,2,0,3,0.0,0.0,1.0,0.5,0.0,0.0,0.6,0.0
