candidate,features,n_features,q_low,q_high,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment,repeat
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,0.0,100.0,141,34,24,75,32,10,0.42857142857142855,0.7058823529411765,0.7009345794392523,0.7034084661902145,0.5333333333333333,0.3556533400702973,0.24113475177304963,1.7773109243697478,0
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,2.5,97.5,141,34,16,75,32,18,0.3333333333333333,0.47058823529411764,0.7009345794392523,0.585761407366685,0.39024390243902435,0.15484284754501068,0.24113475177304963,1.3823529411764706,0
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,5.0,95.0,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673,0
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,10.0,90.0,141,34,11,97,10,23,0.5238095238095238,0.3235294117647059,0.9065420560747663,0.6150357339197361,0.39999999999999997,0.2764355163057983,0.24113475177304963,2.1722689075630255,0
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,15.0,85.0,141,34,11,102,5,23,0.6875,0.3235294117647059,0.9532710280373832,0.6384002199010446,0.44000000000000006,0.37332160591151414,0.24113475177304963,2.8511029411764706,0
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,20.0,80.0,141,34,8,102,5,26,0.6153846153846154,0.23529411764705882,0.9532710280373832,0.594282572842221,0.3404255319148936,0.2788149824432181,0.24113475177304963,2.552036199095023,0
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,0.0,100.0,141,34,24,71,36,10,0.4,0.7058823529411765,0.6635514018691588,0.6847168774051677,0.5106382978723405,0.31963165736828064,0.24113475177304963,1.6588235294117648,0
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,2.5,97.5,141,34,18,71,36,16,0.3333333333333333,0.5294117647058824,0.6635514018691588,0.5964815832875205,0.409090909090909,0.16980452471786886,0.24113475177304963,1.3823529411764706,0
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,5.0,95.0,141,34,14,89,18,20,0.4375,0.4117647058823529,0.8317757009345794,0.6217702034084662,0.42424242424242425,0.24872196285207532,0.24113475177304963,1.8143382352941178,0
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,10.0,90.0,141,34,11,94,13,23,0.4583333333333333,0.3235294117647059,0.8785046728971962,0.6010170423309511,0.3793103448275862,0.22996272166813253,0.24113475177304963,1.9007352941176472,0
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,15.0,85.0,141,34,11,99,8,23,0.5789473684210527,0.3235294117647059,0.9252336448598131,0.6243815283122595,0.4150943396226416,0.31164525296413154,0.24113475177304963,2.4009287925696596,0
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,20.0,80.0,141,34,8,99,8,26,0.5,0.23529411764705882,0.9252336448598131,0.580263881253436,0.31999999999999995,0.216504287837462,0.24113475177304963,2.073529411764706,0
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,0.0,100.0,141,34,21,95,12,13,0.6363636363636364,0.6176470588235294,0.8878504672897196,0.7527487630566245,0.6268656716417911,0.5107184346101985,0.24113475177304963,2.6390374331550803,0
