feature,mean_abs_shap,rank,repeat,outer_fold
mag_moment_mean,2.1551720752504497,1,0,1
melting_point_mean,0.9674873102913394,2,0,1
VEC,0.7697165269934315,3,0,1
avg_d_valence_electrons,0.5305632965596633,4,0,1
dSmix,0.4901200045960589,5,0,1
dHmix,0.4593317000490686,6,0,1
dX,0.30981284698408057,7,0,1
electronegativity_range,0.2990116806538787,8,0,1
nunfilled_mean,0.28278852906281177,9,0,1
sigma,0.24269287294064174,10,0,1
bandgap_mean,0.014809027558680514,11,0,1
mag_moment_mean,1.4638977783252125,1,0,2
avg_d_valence_electrons,1.2863260250608815,2,0,2
melting_point_mean,0.9878428671168825,3,0,2
dSmix,0.6458102012192504,4,0,2
electronegativity_range,0.46081001929134924,5,0,2
nunfilled_mean,0.3072352165788221,6,0,2
dHmix,0.3008762022956639,7,0,2
VEC,0.29734884621814367,8,0,2
dX,0.2684678002917718,9,0,2
sigma,0.20500916542262962,10,0,2
bandgap_mean,0.007214132037788895,11,0,2
avg_d_valence_electrons,1.9282897407314563,1,0,3
melting_point_mean,1.073404181950198,2,0,3
mag_moment_mean,0.9961273428529146,3,0,3
dSmix,0.826324780511911,4,0,3
dHmix,0.3867326767922268,5,0,3
dX,0.347763654645943,6,0,3
electronegativity_range,0.3309379434525519,7,0,3
nunfilled_mean,0.31053433309005607,8,0,3
sigma,0.26317918082912267,9,0,3
VEC,0.2056789163322531,10,0,3
bandgap_mean,0.030468209630497258,11,0,3
mag_moment_mean,1.7156171898287875,1,0,4
melting_point_mean,1.180162097600684,2,0,4
avg_d_valence_electrons,1.104859117312758,3,0,4
dHmix,0.5442250719206962,4,0,4
VEC,0.44266634555988016,5,0,4
nunfilled_mean,0.32254270779160793,6,0,4
dX,0.24820568739452686,7,0,4
sigma,0.22521726732783617,8,0,4
electronegativity_range,0.17325661244251953,9,0,4
dSmix,0.11979985426182274,10,0,4
bandgap_mean,0.017593787694112815,11,0,4
avg_d_valence_electrons,1.3240056069163146,1,0,5
melting_point_mean,1.115225220372423,2,0,5
mag_moment_mean,1.0582022975253598,3,0,5
dHmix,1.0300293212383258,4,0,5
dSmix,0.6950155482137306,5,0,5
electronegativity_range,0.4513146278715349,6,0,5
nunfilled_mean,0.36814552928608046,7,0,5
dX,0.33791400867861277,8,0,5
VEC,0.3276349284758777,9,0,5
sigma,0.11375403350532569,10,0,5
bandgap_mean,0.05361845513217227,11,0,5
mag_moment_mean,1.4117288339975465,1,0,6
avg_d_valence_electrons,1.1438362045248063,2,0,6
melting_point_mean,0.8215594066535433,3,0,6
electronegativity_range,0.7601668583222075,4,0,6
dSmix,0.5829909914487728,5,0,6
dHmix,0.5022119568415765,6,0,6
nunfilled_mean,0.3325599973096382,7,0,6
VEC,0.23592966501992943,8,0,6
dX,0.21683986919583034,9,0,6
sigma,0.20011236714003247,10,0,6
bandgap_mean,0.04682414440663168,11,0,6
avg_d_valence_electrons,1.3543002272903197,1,0,7
mag_moment_mean,1.116729167446396,2,0,7
electronegativity_range,0.9978152107324865,3,0,7
melting_point_mean,0.7337871397087182,4,0,7
dSmix,0.6119100064784659,5,0,7
nunfilled_mean,0.5103914301657407,6,0,7
dHmix,0.40436511777074463,7,0,7
dX,0.3134249406969985,8,0,7
sigma,0.2563594726102647,9,0,7
VEC,0.21144889073943848,10,0,7
bandgap_mean,0.035899059769530076,11,0,7
mag_moment_mean,2.0483901361642625,1,0,8
avg_d_valence_electrons,1.272356729937041,2,0,8
nunfilled_mean,0.72862160602477,3,0,8
melting_point_mean,0.7216006185459802,4,0,8
sigma,0.5433729722854443,5,0,8
dSmix,0.3248486198585715,6,0,8
dX,0.2470881119006859,7,0,8
VEC,0.24160626850731823,8,0,8
dHmix,0.20428837437773753,9,0,8
bandgap_mean,0.029031833450667215,10,0,8
electronegativity_range,0.023729152561357134,11,0,8
avg_d_valence_electrons,1.4668745244100814,1,0,9
mag_moment_mean,1.3173235528726834,2,0,9
melting_point_mean,1.0276030365074917,3,0,9
dSmix,0.723736888014881,4,0,9
dHmix,0.45191006653059296,5,0,9
electronegativity_range,0.4219455336074398,6,0,9
dX,0.3510186492068609,7,0,9
nunfilled_mean,0.28330799271146234,8,0,9
VEC,0.25732522678922026,9,0,9
sigma,0.21023584528142392,10,0,9
bandgap_mean,0.01229145728023108,11,0,9
mag_moment_mean,1.9262432802783263,1,0,10
avg_d_valence_electrons,1.803344228906907,2,0,10
melting_point_mean,0.8193821021683306,3,0,10
sigma,0.5358719497886075,4,0,10
dSmix,0.41958390871334106,5,0,10
dX,0.40228798154555867,6,0,10
nunfilled_mean,0.1988478889516261,7,0,10
electronegativity_range,0.17810944909669435,8,0,10
dHmix,0.14683756727892297,9,0,10
VEC,0.1373201879085468,10,0,10
bandgap_mean,0.05589061186497874,11,0,10
mag_moment_mean,2.087214502655254,1,1,1
melting_point_mean,0.9647964377903011,2,1,1
VEC,0.6718219991083725,3,1,1
dHmix,0.49612195427993533,4,1,1
dX,0.4764408865838623,5,1,1
electronegativity_range,0.4582695234121668,6,1,1
dSmix,0.3967278783996093,7,1,1
avg_d_valence_electrons,0.39359520120639935,8,1,1
nunfilled_mean,0.33812527014625404,9,1,1
sigma,0.20816613910522194,10,1,1
bandgap_mean,0.030620438918929727,11,1,1
avg_d_valence_electrons,1.6014386359766082,1,1,2
mag_moment_mean,1.1096839498900215,2,1,2
electronegativity_range,0.8280691637562633,3,1,2
melting_point_mean,0.6494430994109982,4,1,2
dHmix,0.5913742329171296,5,1,2
dX,0.30789801674094625,6,1,2
nunfilled_mean,0.2880869413254756,7,1,2
VEC,0.27378150547507185,8,1,2
dSmix,0.2467318978470151,9,1,2
sigma,0.18947573851939034,10,1,2
bandgap_mean,0.08287907713425426,11,1,2
avg_d_valence_electrons,1.584534763558601,1,1,3
mag_moment_mean,1.217802370288164,2,1,3
dSmix,0.803123805817097,3,1,3
electronegativity_range,0.7098469374791243,4,1,3
melting_point_mean,0.5963204205631235,5,1,3
dX,0.3896764412092187,6,1,3
dHmix,0.3590878370475525,7,1,3
sigma,0.27018315737814597,8,1,3
nunfilled_mean,0.19054151179631937,9,1,3
VEC,0.16409450183574148,10,1,3
bandgap_mean,0.0449589707081076,11,1,3
mag_moment_mean,2.0886735858441186,1,1,4
melting_point_mean,1.2485138346232967,2,1,4
avg_d_valence_electrons,0.7315164193319661,3,1,4
dHmix,0.5763992206587312,4,1,4
sigma,0.42182448741266565,5,1,4
dSmix,0.29797383173046693,6,1,4
dX,0.2624639642551673,7,1,4
VEC,0.23634398732313583,8,1,4
nunfilled_mean,0.2084469987496495,9,1,4
electronegativity_range,0.11418723992005132,10,1,4
bandgap_mean,0.012652492047239276,11,1,4
mag_moment_mean,1.8503784432798775,1,1,5
melting_point_mean,1.1177549635548876,2,1,5
dSmix,0.6124736511357033,3,1,5
electronegativity_range,0.5485343419723177,4,1,5
avg_d_valence_electrons,0.5041517924106518,5,1,5
VEC,0.469266284080419,6,1,5
nunfilled_mean,0.46327939410423286,7,1,5
sigma,0.31366165720551925,8,1,5
dX,0.29282767031479773,9,1,5
dHmix,0.2662898146738335,10,1,5
bandgap_mean,0.026659601360316847,11,1,5
mag_moment_mean,1.679615111451464,1,1,6
avg_d_valence_electrons,1.4531334784305376,2,1,6
dSmix,0.7458437530905541,3,1,6
melting_point_mean,0.6833812384012642,4,1,6
sigma,0.6376995125127628,5,1,6
dHmix,0.4748101167112911,6,1,6
dX,0.3273112004557403,7,1,6
VEC,0.22199468748251958,8,1,6
nunfilled_mean,0.17592888729039066,9,1,6
electronegativity_range,0.04248908040169464,10,1,6
bandgap_mean,0.02742770918887884,11,1,6
avg_d_valence_electrons,1.9711569605257795,1,1,7
mag_moment_mean,0.8479311279991951,2,1,7
melting_point_mean,0.7552811940341773,3,1,7
dSmix,0.6197173455485628,4,1,7
electronegativity_range,0.48172861831798136,5,1,7
dX,0.451368110240315,6,1,7
dHmix,0.3869414514780357,7,1,7
nunfilled_mean,0.3473356742271282,8,1,7
VEC,0.2709870036158466,9,1,7
sigma,0.2620028896160994,10,1,7
bandgap_mean,0.07847751369510589,11,1,7
avg_d_valence_electrons,1.7619443882466719,1,1,8
mag_moment_mean,1.2542513206306305,2,1,8
melting_point_mean,1.0625445166543934,3,1,8
dSmix,0.8515682425672517,4,1,8
dHmix,0.6915021786089113,5,1,8
electronegativity_range,0.5377687773009293,6,1,8
nunfilled_mean,0.2620234810343953,7,1,8
dX,0.22440335290016264,8,1,8
