repeat,rule,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment
0,v2_nested,141,34,15,81,26,19,0.36585365853658536,0.4411764705882353,0.7570093457943925,0.5990929081913139,0.4,0.18668610253831172,0.24113475177304963,1.517216642754663
0,v2_nested_legacy_f1,141,34,21,87,20,13,0.5121951219512195,0.6176470588235294,0.8130841121495327,0.7153655854865311,0.56,0.4057380342268162,0.24113475177304963,2.1241032998565283
0,v1_rederived,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673
1,v2_nested,141,34,18,81,26,16,0.4090909090909091,0.5294117647058824,0.7570093457943925,0.6432105552501375,0.46153846153846156,0.2644381841179671,0.24113475177304963,1.6965240641711232
1,v2_nested_legacy_f1,141,34,14,85,22,20,0.3888888888888889,0.4117647058823529,0.794392523364486,0.6030786146234195,0.39999999999999997,0.202247897769422,0.24113475177304963,1.6127450980392157
1,v1_rederived,141,34,12,94,13,22,0.48,0.35294117647058826,0.8785046728971962,0.6157229246838922,0.4067796610169491,0.25922790210591257,0.24113475177304963,1.9905882352941178
2,v2_nested,141,34,16,85,22,18,0.42105263157894735,0.47058823529411764,0.794392523364486,0.6324903793293017,0.4444444444444444,0.25546727521124185,0.24113475177304963,1.7461300309597523
2,v2_nested_legacy_f1,141,34,19,85,22,15,0.4634146341463415,0.5588235294117647,0.794392523364486,0.6766080263881253,0.5066666666666667,0.33272072366398137,0.24113475177304963,1.9218077474892399
2,v1_rederived,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673
3,v2_nested,141,34,26,76,31,8,0.45614035087719296,0.7647058823529411,0.7102803738317757,0.7374931280923585,0.5714285714285713,0.4140333455829792,0.24113475177304963,1.891640866873065
3,v2_nested_legacy_f1,141,34,25,77,30,9,0.45454545454545453,0.7352941176470589,0.719626168224299,0.727460142935679,0.5617977528089887,0.398966178052514,0.24113475177304963,1.8850267379679144
3,v1_rederived,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673
4,v2_nested,141,34,17,79,28,17,0.37777777777777777,0.5,0.7383177570093458,0.6191588785046729,0.43037974683544306,0.2186985364474046,0.24113475177304963,1.5666666666666667
4,v2_nested_legacy_f1,141,34,20,94,13,14,0.6060606060606061,0.5882352941176471,0.8785046728971962,0.7333699835074217,0.5970149253731343,0.471560577470428,0.24113475177304963,2.5133689839572195
4,v1_rederived,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673
