feature,mean_rank,sd_rank,mean_abs_shap,top3_rate
mag_moment_mean,1.5,0.9999999999999999,1.529421611588147,0.99
avg_d_valence_electrons,2.18,1.3586981291150018,1.269558236067897,0.89
melting_point_mean,2.93,0.855817879238476,0.949324452490745,0.84
dSmix,5.67,2.127525237538591,0.5235808834100328,0.07
dHmix,5.82,1.7429801484755347,0.4569244926795419,0.03
electronegativity_range,6.49,2.4266824841309336,0.42751749226511565,0.09
dX,7.09,1.5897080603594227,0.3442949961843378,0.0
nunfilled_mean,7.43,1.5390867028169266,0.32588895457238964,0.01
VEC,7.45,2.1526352184795225,0.3348805141433829,0.08
sigma,8.48,1.7202301936636035,0.26491223860710655,0.0
bandgap_mean,10.96,0.1969463855669323,0.03368538246002312,0.0
